You are now connected to database "nc_news_test" as user "lucywoodhead".
                  List of relations
 Schema |         Name         | Type  |    Owner     
--------+----------------------+-------+--------------
 public | articles             | table | lucywoodhead
 public | comments             | table | lucywoodhead
 public | knex_migrations      | table | lucywoodhead
 public | knex_migrations_lock | table | lucywoodhead
 public | topics               | table | lucywoodhead
 public | users                | table | lucywoodhead
(6 rows)

 comment_id |   username    | article_id | votes |         created_at         |                                                                                         body                                                                                         
------------+---------------+------------+-------+----------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          1 | butter_bridge |          9 |    16 | 2017-11-22 12:36:03.389+00 | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!
          2 | butter_bridge |          1 |    14 | 2016-11-22 12:36:03.389+00 | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.
          3 | icellusedkars |          1 |   100 | 2015-11-23 12:36:03.389+00 | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works.
          4 | icellusedkars |          1 |  -100 | 2014-11-23 12:36:03.389+00 |  I carry a log — yes. Is it funny to you? It is not to me.
          5 | icellusedkars |          1 |     0 | 2013-11-23 12:36:03.389+00 | I hate streaming noses
          6 | icellusedkars |          1 |     0 | 2012-11-23 12:36:03.389+00 | I hate streaming eyes even more
          7 | icellusedkars |          1 |     0 | 2011-11-24 12:36:03.389+00 | Lobster pot
          8 | icellusedkars |          1 |     0 | 2010-11-24 12:36:03.389+00 | Delicious crackerbreads
          9 | icellusedkars |          1 |     0 | 2009-11-24 12:36:03.389+00 | Superficially charming
         10 | icellusedkars |          1 |     0 | 2008-11-24 12:36:03.389+00 | git push origin master
         11 | icellusedkars |          1 |     0 | 2007-11-25 12:36:03.389+00 | Ambidextrous marsupial
         12 | icellusedkars |          1 |     0 | 2006-11-25 12:36:03.389+00 | Massive intercranial brain haemorrhage
         13 | icellusedkars |          1 |     0 | 2005-11-25 12:36:03.389+00 | Fruit pastilles
         14 | icellusedkars |          5 |    16 | 2004-11-25 12:36:03.389+00 | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.
         15 | butter_bridge |          5 |     1 | 2003-11-26 12:36:03.389+00 | I am 100% sure that we're not completely sure.
         16 | butter_bridge |          6 |     1 | 2002-11-26 12:36:03.389+00 | This is a bad article name
         17 | icellusedkars |          9 |    20 | 2001-11-26 12:36:03.389+00 | The owls are not what they seem.
         18 | butter_bridge |          1 |    16 | 2000-11-26 12:36:03.389+00 | This morning, I showered for nine minutes.
(18 rows)

